OBJECTID,NAME,Obesity,Shape__Area,Shape__Length, latitude, longitude
1,Texas,32.4,7672329221282.43,15408321.8693326,31.968599,-99.901813
2,California,24.2,5327809415348.82,14518698.4569941,36.778261,-119.417932
3,Kentucky,34.6,1128830286205.16,6346698.58640708,37.839333,-84.270018
4,Georgia,30.7,1652980281878.16,5795595.91864916,32.157435,-82.907123
5,Wisconsin,30.7,1567816094388.87,6806782.08136301,43.78444,-88.787868
6,Oregon,30.1,3178445626040.27,7976010.94221365,43.804133,-120.554201
7,Virginia,29.2,1158804356889.53,7710803.89951692,37.431573,-78.656894
8,Tennessee,33.8,1177054472613.04,6350376.86054333,35.517491,-86.580447
9,Louisiana,36.2,1355093764681.61,7383856.92000197,31.244823,-92.145024
10,New York,25,1411440550751.67,7981383.07833192,43.299428,-74.217933
11,Michigan,31.2,1657221839369.07,12407988.0255281,44.314844,-85.602364
12,Idaho,28.6,2593598268262.5,9081125.22172213,44.068202,-114.742041
13,Florida,26.8,1674411223014.05,10533929.1449871,27.664827,-81.515754
14,Alaska,29.8,530113882175.211,6663726.59004341, 63.588753, -154.493062
15,Montana,23.6,4371466366583.28,9745471.75281783,46.879682,-110.362566
16,Minnesota,26.1,2367874733298.77,8530250.43009455,46.729553,-94.6859
17,Nebraska,31.4,2207444436489.05,6921599.98830379,41.492537,-99.901813
18,Washington,26.4,2214214821521.08,7508966.84072584,47.751074,-120.740139
19,Ohio,29.8,1158015967784.83,5015484.92425697,40.417287,-82.907123
20,Illinois,30.8,1571568299021.75,6172530.808854,40.633125,-89.398528
21,Missouri,32.4,1949020823705.61,7165632.96911909,37.964253,-91.831833
22,Iowa,32.1,1575588858361.24,5558144.62527852,41.878003,-93.097702
23,South Dakota,30.4,2199053487799.14,6680911.24766789,43.969515,-99.901813
24,Arkansas,34.5,1488699273851.56,5707634.00268186,35.20105,-91.831833
25,Mississippi,35.6,1327853198136.73,5834201.76780663,32.354668,-89.398528
26,Colorado,20.2,3066878609025.77,7092296.49765181,39.550051,-105.782067
27,North Carolina,30.1,1495755985997.67,6714056.23681002,35.759573,-79.0193
28,Utah,24.5,2614280967848.27,6798972.50369368,39.32098,-111.093731
29,Oklahoma,33.9,1982448890091.04,7857119.56910824,35.007752,-97.092877
30,Wyoming,29,2897400399096.76,6860971.19037082,43.075968,-107.290284
31,West Virginia,35.6,685167361644.46,5374279.69671274,38.597626,-80.454903
32,Indiana,31.3,1010364222357.43,4858882.2188474,40.551217,-85.602364
33,Massachusetts,24.3,247224998616.445,4197218.18339706,42.407211,-71.382437
34,Nevada,26.7,3564354191149.74,8240794.81052883,38.80261,-116.419389
35,Connecticut,25.3,145421898749.233,1780630.95587218,41.603221,-73.087749
36,District of Columbia,22.1,1972102306.20581,200324.960807365,38.905985,-77.033418
37,Rhode Island,26,36178076494.7559,984524.581504144,41.580095,-71.477429
38,Alabama,35.6,1442806615255.99,5750657.81193695,32.318231,-86.902298
39,Puerto Rico,29.5,114783882866.07,2136273.27154324,18.220833,-66.590149
40,South Carolina,31.7,878270407989.028,4370940.54757697,33.836081,-81.163725
41,Maine,30,990384869167.161,5560035.3654817,45.253783,-69.445469
42,Hawaii,22.7,,,19.898682,-155.665857
43,Arizona,28.4,3562685913790.96,8044184.23411284,34.048928,-111.093731
44,New Mexico,28.8,3622933199164.54,8075166.55523129,34.97273,-105.032363
45,Maryland,28.9,303943203060.042,5850363.29176001,39.045755,-76.641271
46,Delaware,29.7,59081101610.6035,1383604.11821384,38.910832,-75.52767
47,Pennsylvania,30,1288451936878.89,5024348.11270229,41.203322,-77.194525
48,Kansas,34.2,2340365916403.12,6540498.42012793,39.011902,-98.484246
49,Vermont,25.1,278931330245.147,2653732.23281641,44.558803,-72.577841
50,New Jersey,25.6,224606547505.064,2599119.26117916,40.058324,-74.405661
51,North Dakota,31,2013151767296.55,5872756.35866059,47.551493,-101.002012
52,New Hampshire,26.3,270529403241.122,2674767.14799775,43.193852,-71.572395
