Date;Industry;Unemployed(thousands)
Nov-Jan 2023;Agriculture, forestry, fishing, mining, energy & water;8
Nov-Jan 2023;Manufacturing;69
Nov-Jan 2023;Construction;52
Nov-Jan 2023;Wholesale, retail & repair of motor vehicles;157
Nov-Jan 2023;Transport & storage;56
Dec-Feb 2023;Agriculture, forestry, fishing, mining, energy & water;11
Dec-Feb 2023;Manufacturing;76
Dec-Feb 2023;Construction;52
Dec-Feb 2023;Wholesale, retail & repair of motor vehicles;168
Dec-Feb 2023;Transport & storage;61
Jan-Mar 2023;Agriculture, forestry, fishing, mining, energy & water;11
Jan-Mar 2023;Manufacturing;77
Jan-Mar 2023;Construction;59
Jan-Mar 2023;Wholesale, retail & repair of motor vehicles;159
Jan-Mar 2023;Transport & storage;62
Feb-Apr 2023;Agriculture, forestry, fishing, mining, energy & water;14
Feb-Apr 2023;Manufacturing;79
Feb-Apr 2023;Construction;55
Feb-Apr 2023;Wholesale, retail & repair of motor vehicles;146
Feb-Apr 2023;Transport & storage;63
Mar-May 2023;Agriculture, forestry, fishing, mining, energy & water;11
Mar-May 2023;Manufacturing;93
Mar-May 2023;Construction;44
Mar-May 2023;Wholesale, retail & repair of motor vehicles;173
Mar-May 2023;Transport & storage;72
Apr-Jun 2023;Agriculture, forestry, fishing, mining, energy & water;15
Apr-Jun 2023;Manufacturing;96
Apr-Jun 2023;Construction;37
Apr-Jun 2023;Wholesale, retail & repair of motor vehicles;189
Apr-Jun 2023;Transport & storage;78
May-Jul 2023;Agriculture, forestry, fishing, mining, energy & water;17
May-Jul 2023;Manufacturing;92
May-Jul 2023;Construction;40
May-Jul 2023;Wholesale, retail & repair of motor vehicles;208
May-Jul 2023;Transport & storage;83
Jun-Aug 2023;Agriculture, forestry, fishing, mining, energy & water;12
Jun-Aug 2023;Manufacturing;83
Jun-Aug 2023;Construction;36
Jun-Aug 2023;Wholesale, retail & repair of motor vehicles;171
Jun-Aug 2023;Transport & storage;74
Jul-Sep 2023;Agriculture, forestry, fishing, mining, energy & water;12
Jul-Sep 2023;Manufacturing;75
Jul-Sep 2023;Construction;33
Jul-Sep 2023;Wholesale, retail & repair of motor vehicles;162
Jul-Sep 2023;Transport & storage;65
Aug-Oct 2023;Agriculture, forestry, fishing, mining, energy & water;7
Aug-Oct 2023;Manufacturing;62
Aug-Oct 2023;Construction;28
Aug-Oct 2023;Wholesale, retail & repair of motor vehicles;148
Aug-Oct 2023;Transport & storage;57
Sep-Nov 2023;Agriculture, forestry, fishing, mining, energy & water;14
Sep-Nov 2023;Manufacturing;55
Sep-Nov 2023;Construction;35
Sep-Nov 2023;Wholesale, retail & repair of motor vehicles;131
Sep-Nov 2023;Transport & storage;55
Oct-Dec 2023;Agriculture, forestry, fishing, mining, energy & water;16
Oct-Dec 2023;Manufacturing;64
Oct-Dec 2023;Construction;38
Oct-Dec 2023;Wholesale, retail & repair of motor vehicles;112
Oct-Dec 2023;Transport & storage;65
;;
;;
;;
;;
;;
;;
;;
;;
;;
